54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
140,0
151,0
53,1
62,1
63,1
64,1
140,1
151,1
52,2
64,2
68,2
69,2
128,2
129,2
141,2
151,2
51,3
65,3
67,3
68,3
70,3
127,3
130,3
142,3
151,3
47,4
48,4
49,4
51,4
66,4
71,4
74,4
75,4
77,4
101,4
102,4
128,4
130,4
131,4
142,4
151,4
47,5
50,5
51,5
72,5
73,5
76,5
78,5
99,5
100,5
103,5
111,5
129,5
130,5
132,5
143,5
151,5
46,6
79,6
80,6
81,6
82,6
98,6
104,6
105,6
106,6
107,6
108,6
110,6
112,6
113,6
114,6
124,6
131,6
133,6
142,6
150,6
28,7
29,7
30,7
31,7
43,7
44,7
46,7
82,7
83,7
84,7
87,7
88,7
97,7
109,7
115,7
124,7
125,7
132,7
134,7
142,7
150,7
27,8
32,8
33,8
42,8
45,8
46,8
85,8
86,8
89,8
90,8
97,8
116,8
117,8
