124,8
126,8
128,8
133,8
135,8
142,8
26,9
34,9
39,9
40,9
41,9
46,9
91,9
97,9
118,9
119,9
120,9
121,9
122,9
123,9
127,9
128,9
132,9
136,9
142,9
149,9
25,10
32,10
150,8
33,10
34,10
38,10
92,10
93,10
96,10
128,10
132,10
135,10
143,10
148,10
25,11
28,11
32,11
36,11
37,11
92,11
93,11
96,11
97,11
127,11
133,11
136,11
143,11
148,11
9,12
10,12
11,12
12,12
24,12
27,12
29,12
33,12
35,12
91,12
93,12
97,12
126,12
134,12
135,12
143,12
147,12
10,13
11,13
23,13
26,13
30,13
34,13
90,13
96,13
125,13
144,13
146,13
22,14
25,14
26,14
29,14
83,14
90,14
96,14
125,14
133,14
145,14
22,15
26,15
28,15
29,15
30,15
82,15
84,15
88,15
89,15
97,15
101,15
102,15
103,15
104,15
105,15
